"Month,""Ventas"""
1964-01,3754116
1964-02,3605307
1964-03,3485720
1964-04,3529236
1964-05,3706474
1964-06,3779886
1964-07,4038124
1964-08,3759567
1964-09,4104212
1964-10,3904858
1964-11,3037780
1964-12,3288034
1965-01,3194578
1965-02,3244421
1965-03,3446417
1965-04,3401707
1965-05,3949840
1965-06,3533020
1965-07,3587835
1965-08,3698959
1965-09,3968947
1965-10,3894021
1965-11,3654349
1965-12,3865883
1966-01,3876431
1966-02,4099301
1966-03,4062445
1966-04,4293297
1966-05,3148096
1966-06,3349615












































































Perrin Freres monthly champagne sales millions ?64-?72
